LG,QM,EIY,GLQ,HLL,HML,IKW,KER,KHK,KNV,TNQ,VNK,AEM,ALG,AMN,CTG,DAQ,DAYM780201.lag26,DCQ,DFG,DLK,DVK,DVW,EEM,EM,EY,EYA,EYL,FDE,GGL,GLT,GVL,HRD,IFP,IFT,IIT,ILM,IPI,IVL,IYD,KN,KQS,KTP,LKN,LKP,LME,LNT,MEY,MLT,MM,MMS,MN,MNG,MPN,MRI,MVI,NK,PAG,Pc1.M,Pc2.Hydrophilicity.24,PCH,PFC,PIY,PKF,PSQ,QGF,QI,QII,QLM,QQM,RDL,RGP,RYD,SCK,SFE,SNC,SQR,TMR,VGF,VGG,VHC,VLT,VPQ,WYW,YKI
0.005571031,0.002785515,0,0,0,0,0,0,0,0,0,0.002793296,0.002793296,0,0,0,0,0.031831421,0,0.002793296,0.005586592,0,0,0,0.005571031,0.002785515,0,0,0,0,0,0,0.002793296,0.002793296,0,0,0,0,0,0,0.002785515,0,0,0,0.002793296,0.002793296,0.002793296,0,0.002793296,0,0,0,0,0,0,0,0.005571031,0,8.946863274,7.12861e-4,0,0,0,0,0.002793296,0,0.002785515,0,0,0,0.002793296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001647446,0,0,0,0,0.001650165,0,0,0,0,0,0,0,0,0,0,0,0.07030839,0,0,0.001650165,0,0,0,0,0.001647446,0,0,0,0,0,0,0,0,0,0.001650165,0.001650165,0,0.001650165,0,0.001647446,0.001650165,0,0.001650165,0.001650165,0,0,0,0,0.001647446,0,0,0,0,0,0,0.001647446,0,20.60503275,0.003109379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123754871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943013026,-0.001080435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004632694,6.61813e-4,0,0,0.001324503,0,0,0,0,0,0,6.62252e-4,0,0,0,0,0,0.042581493,0,6.62252e-4,0,6.62252e-4,6.62252e-4,0,0.003309067,0,0,0,0,0,0,0,6.62252e-4,0,0,0,0,0,0,0,0.001323627,0,0,6.62252e-4,0,0,0,0,0,6.61813e-4,6.62252e-4,6.61813e-4,0,0,0,0,0.003309067,0.001324503,33.40243828,0.002468919,6.62252e-4,0,0,0,0,6.62252e-4,0.002647253,6.62252e-4,6.62252e-4,0,0,6.62252e-4,0,0,0,0,0,0,0,0,0,0,6.62252e-4,0,0
0.003802281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010043673,0,0,0,0,0,0,0,0.003802281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.982351866,-1.60122e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.003816794,0,0,0,0,0,0,0,0,0.003816794,0,0,0
0.00539707,0.00154202,0,7.71605e-4,0,7.71605e-4,0,0,0,0,0,0,0,7.71605e-4,0,0,0,0.030084808,0,7.71605e-4,0,7.71605e-4,0,0,0.00154202,0.00154202,0,0,0,0,0,0,0,0,0,0,0,7.71605e-4,0,0,0.00154202,0,0,7.71605e-4,0,7.71605e-4,0,0,0,0,0,7.7101e-4,0,0,0,0,0.00462606,7.71605e-4,25.33036851,0.003599503,0,0,0,0,0,0,0,0,0,0,0,0,7.71605e-4,0,0,7.71605e-4,0,0,0,0,0,0,0,0,0
0.008503401,0,0,0,0.001703578,0.001703578,0,0,0,0,0,0,0,0.001703578,0,0,0,0.043038764,0,0,0,0.001703578,0,0,0,0.003401361,0,0,0.001703578,0,0,0,0,0,0,0,0,0,0,0.001703578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.94706851,5.32646e-4,0,0,0,0,0,0,0.00170068,0,0,0,0,0,0,0,0,0,0,0,0,0.001703578,0.001703578,0,0,0,0
0.006711409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056886284,0,0,0,0,0,0,0.006711409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003355705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62698854,0.003441548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005714286,0,0,0,0,0,0,0,0,0,0,0,0,0.00286533,0,0,0,0.074420451,0,0,0,0,0,0,0.008571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002857143,0,0,0.00286533,0,0.00286533,0,0,0,0,0,0,0,0,0,0,0,0,9.798513835,-0.001354331,0,0,0,0,0,0,0.002857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05843203,0,0,0,0,0,0,0,0.001481481,0,0,0,0,0,0,0,0,0,0,0,0,0.002967359,0,0,0,0,0,0,0,0,0,0.00148368,0,0,0,0,0,0,0,0,0.002967359,9.054233637,0.003762217,0,0,0,0,0,0,0.002962963,0,0,0,0,0.00148368,0,0,0,0,0,0,0,0,0,0,0.00148368,0,0
