_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.1,GO:0007051,spindle organization,M1,1,0
1,-2.9,M14728,BROWNE HCMV INFECTION 6HR UP,M1,1,0
1,-6.6,M18299,YANG BREAST CANCER ESR1 UP,M1,1,0
1,-7.6,WP3584,MECP2 and associated Rett syndrome,M1,1,0
1,-2.3,WP4324,Mitochondrial complex I assembly model OXPHOS system,M1,1,0
1,-2.1,GO:0072210,metanephric nephron development,M1,1,0
1,-3.1,M9700,GSE44732 UNSTIM VS IL27 STIM IMATURE DC DN,M1,1,0
1,-13,GO:0010948,negative regulation of cell cycle process,M1,1,0
1,-5.2,M3835,BENPORATH SOX2 TARGETS,M1,1,0
1,-5,GO:0007611,learning or memory,M1,1,0
1,-29,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M1,1,0
1,-2,M2226,PILON KLF1 TARGETS UP,M1,1,0
1,-3,M9848,GSE46606 IRF4HIGH VS WT CD40L IL2 IL5 DAY1 STIMULATED BCELL DN,M1,1,0
1,-23,hsa01524,Platinum drug resistance,M1,1,0
1,-5.2,R-HSA-6781827,Transcription-Coupled Nucleotide Excision Repair (TC-NER),M1,1,0
1,-3.1,M2715,SNF5 DN.V1 DN,M1,1,0
1,-3,GO:0032757,positive regulation of interleukin-8 production,M1,1,0
1,-2.6,M34027,BLANCO MELO BRONCHIAL EPITHELIAL CELLS INFLUENZA A DEL NS1 INFECTION DN,M1,1,0
1,-4,M828,MASSARWEH TAMOXIFEN RESISTANCE DN,M1,1,0
1,-4.8,GO:0017111,ribonucleoside triphosphate phosphatase activity,M1,1,0
1,-5.1,GO:0033148,positive regulation of intracellular estrogen receptor signaling pathway,M1,1,0
1,-3.6,GO:0006164,purine nucleotide biosynthetic process,M1,1,0
1,-2.3,M19695,FLECHNER BIOPSY KIDNEY TRANSPLANT REJECTED VS OK UP,M1,1,0
1,-2.6,GO:0010837,regulation of keratinocyte proliferation,M1,1,0
1,-12,hsa04915,Estrogen signaling pathway,M1,1,0
1,-13,M231,PID KIT PATHWAY,M1,1,0
1,-6.5,GO:0072657,protein localization to membrane,M1,1,0
1,-3.8,M12224,MARTINEZ RB1 TARGETS UP,M1,1,0
1,-2.9,GO:0021510,spinal cord development,M1,1,0
1,-2.6,GO:0045540,regulation of cholesterol biosynthetic process,M1,1,0
1,-2.5,M19744,GRAHAM CML QUIESCENT VS CML DIVIDING UP,M1,1,0
1,-2.2,GO:0098586,cellular response to virus,M1,1,0
1,-2.4,M2468,KRIEG KDM3A TARGETS NOT HYPOXIA,M1,1,0
1,-2.5,M3982,GSE17721 LPS VS CPG 0.5H BMDC UP,M1,1,0
1,-3,M4133,GSE17721 12H VS 24H CPG BMDC DN,M1,1,0
1,-3.1,R-HSA-2032785,YAP1- and WWTR1 (TAZ)-stimulated gene expression,M1,1,0
1,-16,WP4630,Measles virus infection,M1,1,0
1,-9.4,GO:0006366,transcription by RNA polymerase II,M1,1,0
1,-3.6,GO:0040013,negative regulation of locomotion,M1,1,0
1,-3.1,M3299,GSE13485 DAY1 VS DAY21 YF17D VACCINE PBMC DN,M1,1,0
1,-5.4,GO:0006140,regulation of nucleotide metabolic process,M1,1,0
1,-2.4,M3508,GSE14769 UNSTIM VS 240MIN LPS BMDM DN,M1,1,0
1,-5.8,GO:2001239,regulation of extrinsic apoptotic signaling pathway in absence of ligand,M1,1,0
1,-3.2,WP2363,Gastric cancer network 2,M1,1,0
1,-2.4,M3431,GSE1448 ANTI VALPHA2 VS VBETA5 DP THYMOCYTE UP,M1,1,0
1,-3,M3481,GSE1460 CORD VS ADULT BLOOD NAIVE CD4 TCELL DN,M1,1,0
1,-3.6,M3238,SMID BREAST CANCER RELAPSE IN BONE UP,M1,1,0
1,-2.3,M2586,SMIRNOV RESPONSE TO IR 2HR DN,M1,1,0
1,-3,R-HSA-9671793,Diseases of hemostasis,M1,1,0
1,-2.3,hsa04392,Hippo signaling pathway - multiple species,M1,1,0
1,-4.4,M5837,GSE9650 EFFECTOR VS MEMORY CD8 TCELL DN,M1,1,0
1,-2.1,GO:0002889,regulation of immunoglobulin mediated immune response,M1,1,0
1,-3.3,M6857,GSE7768 OVA ALONE VS OVA WITH MPL IMMUNIZED MOUSE WHOLE SPLEEN 6H UP,M1,1,0
1,-4.7,R-HSA-9682385,FLT3 signaling in disease,M1,1,0
1,-6.4,GO:0010631,epithelial cell migration,M1,1,0
1,-3.6,GO:0005272,sodium channel activity,M1,1,0
1,-11,M40,PID E2F PATHWAY,M1,1,0
1,-2.3,GO:0060037,pharyngeal system development,M1,1,0
1,-5.4,WP3617,Photodynamic therapy-induced NF-kB survival signaling,M1,1,0
1,-2.1,GO:0006354,DNA-templated transcription elongation,M1,1,0
1,-35,hsa05212,Pancreatic cancer,M1,1,0
1,-5.8,M9576,GSE42021 TREG PLN VS CD24INT TREG THYMUS DN,M1,1,0
1,-5.8,M9598,GSE42021 TCONV PLN VS CD24HI TCONV THYMUS UP,M1,1,0
1,-2.9,GO:0046982,protein heterodimerization activity,M1,1,0
1,-13,GO:0019902,phosphatase binding,M1,1,0
1,-11,M84,PID ATM PATHWAY,M1,1,0
1,-8.2,M5547,LU AGING BRAIN UP,M1,1,0
1,-2.1,GO:0101002,ficolin-1-rich granule,M1,1,0
1,-3.7,M3770,GSE17721 CTRL VS CPG 12H BMDC DN,M1,1,0
1,-4,GO:0038134,ERBB2-EGFR signaling pathway,M1,1,0
1,-2.6,M1981,ONO FOXP3 TARGETS UP,M1,1,0
1,-2.6,GO:2000573,positive regulation of DNA biosynthetic process,M1,1,0
1,-2.3,GO:0071320,cellular response to cAMP,M1,1,0
1,-5.3,GO:0060525,prostate glandular acinus development,M1,1,0
1,-9.7,M58,PID AR PATHWAY,M1,1,0
1,-2,GO:0042401,cellular biogenic amine biosynthetic process,M1,1,0
1,-8,GO:0048511,rhythmic process,M1,1,0
1,-9.3,GO:0050767,regulation of neurogenesis,M1,1,0
1,-4.3,GO:0140296,general transcription initiation factor binding,M1,1,0
1,-2.7,GO:0006356,regulation of transcription by RNA polymerase I,M1,1,0
1,-2.4,M3818,GSE17721 LPS VS POLYIC 16H BMDC UP,M1,1,0
1,-2.4,GO:0051496,positive regulation of stress fiber assembly,M1,1,0
1,-2.8,M7775,EHLERS ANEUPLOIDY UP,M1,1,0
1,-4.2,R-HSA-187687,Signalling to ERKs,M1,1,0
1,-2.8,GO:0045740,positive regulation of DNA replication,M1,1,0
1,-2.7,R-HSA-6807070,PTEN Regulation,M1,1,0
1,-6.4,GO:0060149,negative regulation of post-transcriptional gene silencing,M1,1,0
1,-4.7,GO:0005902,microvillus,M1,1,0
1,-11,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,M1,1,0
