Cluster,Score,Type,Gene,Symbol,Network
2,7.4375,Clustered,6117,RPA1,MyList_SUB1
2,7.4375,Clustered,5888,RAD51,MyList_SUB1
2,7.4375,Clustered,2065,ERBB3,MyList_SUB1
2,7.4375,Clustered,5781,PTPN11,MyList_SUB1
2,7.4375,Clustered,6119,RPA3,MyList_SUB1
2,7.4375,Clustered,7156,TOP3A,MyList_SUB1
2,7.4375,Seed,5296,PIK3R2,MyList_SUB1
2,7.4375,Clustered,1950,EGF,MyList_SUB1
2,7.4375,Clustered,4683,NBN,MyList_SUB1
2,7.4375,Clustered,2263,FGFR2,MyList_SUB1
2,7.4375,Clustered,5335,PLCG1,MyList_SUB1
2,7.4375,Clustered,1956,EGFR,MyList_SUB1
2,7.4375,Clustered,2067,ERCC1,MyList_SUB1
2,7.4375,Clustered,2064,ERBB2,MyList_SUB1
2,7.4375,Clustered,5291,PIK3CB,MyList_SUB1
2,7.4375,Clustered,3717,JAK2,MyList_SUB1
2,7.4375,Clustered,580,BARD1,MyList_SUB1
2,7.4375,Clustered,2249,FGF4,MyList_SUB1
2,7.4375,Clustered,641,BLM,MyList_SUB1
2,7.4375,Clustered,3630,INS,MyList_SUB1
2,7.4375,Clustered,545,ATR,MyList_SUB1
2,7.4375,Clustered,472,ATM,MyList_SUB1
2,7.4375,Clustered,4361,MRE11,MyList_SUB1
2,7.4375,Clustered,5426,POLE,MyList_SUB1
2,7.4375,Clustered,5889,RAD51C,MyList_SUB1
2,7.4375,Clustered,5932,RBBP8,MyList_SUB1
2,7.4375,Clustered,83990,BRIP1,MyList_SUB1
2,7.4375,Clustered,79728,PALB2,MyList_SUB1
2,7.4375,Clustered,8503,PIK3R3,MyList_SUB1
2,7.4375,Clustered,675,BRCA2,MyList_SUB1
2,7.4375,Clustered,3932,LCK,MyList_SUB1
2,7.4375,Clustered,2248,FGF3,MyList_SUB1
3,6.285714285714286,Clustered,3725,JUN,MyList_SUB1
3,6.285714285714286,Clustered,23396,PIP5K1C,MyList_SUB1
3,6.285714285714286,Clustered,3845,KRAS,MyList_SUB1
3,6.285714285714286,Clustered,23054,NCOA6,MyList_SUB1
3,6.285714285714286,Seed,2260,FGFR1,MyList_SUB1
3,6.285714285714286,Clustered,5290,PIK3CA,MyList_SUB1
3,6.285714285714286,Clustered,4868,NPHS1,MyList_SUB1
3,6.285714285714286,Clustered,2033,EP300,MyList_SUB1
3,6.285714285714286,Clustered,2534,FYN,MyList_SUB1
3,6.285714285714286,Clustered,5295,PIK3R1,MyList_SUB1
3,6.285714285714286,Clustered,5594,MAPK1,MyList_SUB1
3,6.285714285714286,Clustered,367,AR,MyList_SUB1
3,6.285714285714286,Clustered,5170,PDPK1,MyList_SUB1
3,6.285714285714286,Clustered,5879,RAC1,MyList_SUB1
3,6.285714285714286,Clustered,6774,STAT3,MyList_SUB1
3,6.285714285714286,Clustered,596,BCL2,MyList_SUB1
3,6.285714285714286,Clustered,4790,NFKB1,MyList_SUB1
3,6.285714285714286,Clustered,998,CDC42,MyList_SUB1
3,6.285714285714286,Clustered,8289,ARID1A,MyList_SUB1
3,6.285714285714286,Clustered,10000,AKT3,MyList_SUB1
3,6.285714285714286,Clustered,5880,RAC2,MyList_SUB1
3,6.285714285714286,Clustered,11200,CHEK2,MyList_SUB1
3,6.285714285714286,Clustered,9611,NCOR1,MyList_SUB1
3,6.285714285714286,Clustered,1387,CREBBP,MyList_SUB1
3,6.285714285714286,Clustered,2885,GRB2,MyList_SUB1
3,6.285714285714286,Clustered,3479,IGF1,MyList_SUB1
3,6.285714285714286,Clustered,3667,IRS1,MyList_SUB1
3,6.285714285714286,Clustered,6714,SRC,MyList_SUB1
4,4.96,Clustered,3576,CXCL8,MyList_SUB1
4,4.96,Seed,595,CCND1,MyList_SUB1
4,4.96,Clustered,7422,VEGFA,MyList_SUB1
4,4.96,Clustered,6598,SMARCB1,MyList_SUB1
4,4.96,Clustered,5728,PTEN,MyList_SUB1
4,4.96,Clustered,10498,CARM1,MyList_SUB1
4,4.96,Clustered,2353,FOS,MyList_SUB1
4,4.96,Clustered,2625,GATA3,MyList_SUB1
4,4.96,Clustered,3659,IRF1,MyList_SUB1
4,4.96,Clustered,6416,MAP2K4,MyList_SUB1
4,4.96,Clustered,5881,RAC3,MyList_SUB1
4,4.96,Clustered,8850,KAT2B,MyList_SUB1
4,4.96,Clustered,2099,ESR1,MyList_SUB1
4,4.96,Clustered,207,AKT1,MyList_SUB1
4,4.96,Clustered,5518,PPP2R1A,MyList_SUB1
4,4.96,Clustered,5599,MAPK8,MyList_SUB1
4,4.96,Clustered,1029,CDKN2A,MyList_SUB1
4,4.96,Clustered,1432,MAPK14,MyList_SUB1
4,4.96,Clustered,5469,MED1,MyList_SUB1
4,4.96,Clustered,10499,NCOA2,MyList_SUB1
4,4.96,Clustered,5970,RELA,MyList_SUB1
4,4.96,Clustered,2668,GDNF,MyList_SUB1
4,4.96,Clustered,5925,RB1,MyList_SUB1
4,4.96,Clustered,672,BRCA1,MyList_SUB1
4,4.96,Clustered,4214,MAP3K1,MyList_SUB1
1,3.1951219512195124,Clustered,4723,NDUFV1,MyList_SUB1
1,3.1951219512195124,Clustered,5824,PEX19,MyList_SUB1
1,3.1951219512195124,Clustered,5825,ABCD3,MyList_SUB1
1,3.1951219512195124,Clustered,841,CASP8,MyList_SUB1
1,3.1951219512195124,Clustered,224,ALDH3A2,MyList_SUB1
1,3.1951219512195124,Clustered,51574,LARP7,MyList_SUB1
1,3.1951219512195124,Clustered,4194,MDM4,MyList_SUB1
1,3.1951219512195124,Clustered,166379,BBS12,MyList_SUB1
1,3.1951219512195124,Clustered,27241,BBS9,MyList_SUB1
1,3.1951219512195124,Clustered,4722,NDUFS3,MyList_SUB1
1,3.1951219512195124,Clustered,1290,COL5A2,MyList_SUB1
