_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.8,M39060,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGFPL,,-6.8,4.5,7.1,30169,323,374,18,4.8,1.1,580|595|672|675|701|1000|1017|2200|3169|4010|4281|5352|6119|7153|10413|10535|157570|170302,BARD1|CCND1|BRCA1|BRCA2|BUB1B|CDH2|CDK2|FBN1|FOXA1|LMX1B|MID1|PLOD2|RPA3|TOP2A|YAP1|RNASEH2A|ESCO2|ARX,-5.7,0
1,-6.3,M39175,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-6.3,3.1,6.2,30169,680,374,26,7,1.3,1019|1075|1290|1499|2200|2534|3146|3569|4149|4256|4692|4810|4851|4853|5054|5351|5352|9244|10413|23111|25937|51715|80781|161742|196527|285590,CDK4|CTSC|COL5A2|CTNNB1|FBN1|FYN|HMGB1|IL6|MAX|MGP|NDN|NHS|NOTCH1|NOTCH2|SERPINE1|PLOD1|PLOD2|CRLF1|YAP1|SPART|WWTR1|RAB23|COL18A1|SPRED1|ANO6|SH3PXD2B,-5.2,0
1,-5.7,M39264,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA FIBROBLAST,,-5.7,3.8,6.1,30169,385,374,18,4.8,1.1,1075|1287|1290|1908|1956|2200|2260|2263|2303|2317|2353|3659|3725|4810|4853|5308|10468|25937,CTSC|COL4A5|COL5A2|EDN3|EGFR|FBN1|FGFR1|FGFR2|FOXC2|FLNB|FOS|IRF1|JUN|NHS|NOTCH2|PITX2|FST|WWTR1,-4.6,0
1,-5.6,M39061,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGFPM,,-5.6,3.9,6.1,30169,356,374,17,4.5,1.1,595|672|675|701|2950|3146|3169|3667|4010|4281|6119|6535|7153|10413|10535|157570|170302,CCND1|BRCA1|BRCA2|BUB1B|GSTP1|HMGB1|FOXA1|IRS1|LMX1B|MID1|RPA3|SLC6A8|TOP2A|YAP1|RNASEH2A|ESCO2|ARX,-4.5,0
1,-5.3,M39108,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C4 EPCAM POS BILE DUCT CELLS 1,,-5.3,5.1,6.3,30169,191,374,12,3.2,0.91,224|950|999|1000|2065|2263|4072|4128|6638|7422|25937|64065,ALDH3A2|SCARB2|CDH1|CDH2|ERBB3|FGFR2|EPCAM|MAOA|SNRPN|VEGFA|WWTR1|PERP,-4.2,0
1,-5.2,M39059,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGBP,,-5.2,4,5.9,30169,300,374,15,4,1,429|595|672|675|701|1017|2950|4281|4851|6119|6535|7153|10413|10535|157570,ASCL1|CCND1|BRCA1|BRCA2|BUB1B|CDK2|GSTP1|MID1|NOTCH1|RPA3|SLC6A8|TOP2A|YAP1|RNASEH2A|ESCO2,-4.2,0
1,-4.9,M39054,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-4.9,3.3,5.4,30169,440,374,18,4.8,1.1,429|580|672|701|1287|1956|2353|3725|3730|3758|4851|4853|4982|7466|10413|23363|157570|161742,ASCL1|BARD1|BRCA1|BUB1B|COL4A5|EGFR|FOS|JUN|ANOS1|KCNJ1|NOTCH1|NOTCH2|TNFRSF11B|WFS1|YAP1|OBSL1|ESCO2|SPRED1,-3.9,0
1,-4.7,M39135,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,,-4.7,4.8,5.8,30169,184,374,11,2.9,0.87,224|950|999|1956|2263|2317|3576|4072|4790|6648|7422,ALDH3A2|SCARB2|CDH1|EGFR|FGFR2|FLNB|CXCL8|EPCAM|NFKB1|SOD2|VEGFA,-3.7,0
1,-4.7,M39111,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C7 EPCAM POS BILE DUCT CELLS 2,,-4.7,4.4,5.7,30169,219,374,12,3.2,0.91,224|595|999|2065|2263|2950|3576|4072|6638|7422|25937|64065,ALDH3A2|CCND1|CDH1|ERBB3|FGFR2|GSTP1|CXCL8|EPCAM|SNRPN|VEGFA|WWTR1|PERP,-3.7,0
1,-4.6,M41710,M1,1,0,Cell Type Signatures,7,FAN OVARY CL8 MATURE CUMULUS GRANULOSA CELL 2,,-4.6,2.7,5,30169,646,374,22,5.9,1.2,268|1000|1174|1499|1716|2052|2067|2950|3146|4695|4724|4728|5447|6119|6598|6638|7422|9663|10413|10468|84153|374291,AMH|CDH2|AP1S1|CTNNB1|DGUOK|EPHX1|ERCC1|GSTP1|HMGB1|NDUFA2|NDUFS4|NDUFS8|POR|RPA3|SMARCB1|SNRPN|VEGFA|LPIN2|YAP1|FST|RNASEH2C|NDUFS7,-3.7,0
