_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-81,C1857276,M1,1,0,DisGeNET,35,Trichohepatoenteric Syndrome,,-81,17,37,30169,423,374,88,24,2.2,268|367|472|545|551|583|596|672|675|701|998|1019|1130|1287|1387|1499|1717|1950|2033|2052|2138|2200|2245|2248|2263|2512|2625|3479|3569|3630|3757|3758|3759|3784|4010|4072|4128|4204|4292|4683|4982|5054|5172|5290|5308|5317|5395|5447|5594|5728|5828|5888|5932|6567|6598|6605|6663|6899|6905|6949|7054|7157|7389|7401|7422|7466|7827|8195|8803|8869|9531|9663|10084|10664|10743|11005|11277|11285|25836|26504|51574|57477|60675|79813|80781|91147|124590|145173,AMH|AR|ATM|ATR|AVP|BBS2|BCL2|BRCA1|BRCA2|BUB1B|CDC42|CDK4|LYST|COL4A5|CREBBP|CTNNB1|DHCR7|EGF|EP300|EPHX1|EYA1|FBN1|FGD1|FGF3|FGFR2|FTL|GATA3|IGF1|IL6|INS|KCNH2|KCNJ1|KCNJ2|KCNQ1|LMX1B|EPCAM|MAOA|MECP2|MLH1|NBN|TNFRSF11B|SERPINE1|SLC26A4|PIK3CA|PITX2|PKP1|PMS2|POR|MAPK1|PTEN|PEX2|RAD51|RBBP8|SLC16A2|SMARCB1|SMARCE1|SOX10|TBX1|TBCE|TCOF1|TH|TP53|UROD|CLRN1|VEGFA|WFS1|NPHS2|MKKS|SUCLA2|ST3GAL5|BAG3|LPIN2|PQBP1|CTCF|RAI1|SPINK5|TREX1|B4GALT7|NIPBL|CNNM4|LARP7|SHROOM4|PROK2|EHMT1|COL18A1|TMEM67|USH1G|B3GLCT,-77,0
1,-79,C1384666,M1,1,0,DisGeNET,35,hearing impairment,,-79,11,32,30169,740,374,104,28,2.3,207|582|583|585|596|617|672|675|701|1108|1174|1286|1287|1302|1387|1499|1663|1717|1908|2033|2068|2138|2248|2260|2263|2290|2625|2706|2950|3479|3630|3753|3766|3784|3845|3981|4010|4038|4204|4256|4647|4695|4722|4723|4724|4728|4853|4982|5172|5189|5194|5290|5308|5351|5728|5888|5889|6598|6605|6663|6774|6834|6899|6913|7021|7040|7389|7401|7439|7466|7809|8036|8195|8289|9496|9531|9657|10083|10084|10743|25782|27241|51057|51099|51360|54903|55212|79728|79738|79813|80067|83990|84282|113189|124590|129880|145173|146227|147912|166379|285590|374291|392255|493856,AKT1|BBS1|BBS2|BBS4|BCL2|BCS1L|BRCA1|BRCA2|BUB1B|CHD4|AP1S1|COL4A4|COL4A5|COL11A2|CREBBP|CTNNB1|DDX11|DHCR7|EDN3|EP300|ERCC2|EYA1|FGF3|FGFR1|FGFR2|FOXG1|GATA3|GJB2|GSTP1|IGF1|INS|KCNE1|KCNJ10|KCNQ1|KRAS|LIG4|LMX1B|LRP4|MECP2|MGP|MYO7A|NDUFA2|NDUFS3|NDUFV1|NDUFS4|NDUFS8|NOTCH2|TNFRSF11B|SLC26A4|PEX1|PEX13|PIK3CA|PITX2|PLOD1|PTEN|RAD51|RAD51C|SMARCB1|SMARCE1|SOX10|STAT3|SURF1|TBX1|TBX15|TFAP2B|TGFB1|UROD|CLRN1|BEST1|WFS1|BSND|SHOC2|MKKS|ARID1A|TBX4|BAG3|IQCB1|USH1C|PQBP1|RAI1|RAB3GAP2|BBS9|WDPCP|ABHD5|MBTPS2|MKS1|BBS7|PALB2|BBS10|EHMT1|DCAF17|BRIP1|RNF135|CHST14|USH1G|BBS5|B3GLCT|BEAN1|SIX5|BBS12|SH3PXD2B|NDUFS7|GDF6|CISD2,-74,0
1,-75,C0038379,M1,1,0,DisGeNET,35,Strabismus,,-75,11,31,30169,716,374,100,27,2.3,207|429|472|545|582|617|672|675|998|1103|1130|1145|1161|1302|1499|1716|1717|1723|2068|2121|2200|2245|2248|2260|2263|2290|2303|2812|3736|3845|3981|4204|4695|4722|4723|4724|4728|4810|4851|5189|5192|5194|5195|5308|5528|5728|5781|5824|5828|5888|5889|6598|6605|6834|6899|6913|6949|7021|7439|8036|8289|8504|8546|8803|9244|9409|9496|9533|10084|10225|10413|10664|10743|11234|11277|23111|23322|23400|25836|50814|51082|51099|51574|54903|57477|57545|64374|79728|79803|79813|80781|81031|83990|84282|91147|113189|170302|200894|219844|374291,AKT1|ASCL1|ATM|ATR|BBS1|BCS1L|BRCA1|BRCA2|CDC42|CHAT|LYST|CHRNE|ERCC8|COL11A2|CTNNB1|DGUOK|DHCR7|DHODH|ERCC2|EVC|FBN1|FGD1|FGF3|FGFR1|FGFR2|FOXG1|FOXC2|GP1BB|KCNA1|KRAS|LIG4|MECP2|NDUFA2|NDUFS3|NDUFV1|NDUFS4|NDUFS8|NHS|NOTCH1|PEX1|PEX10|PEX13|PEX14|PITX2|PPP2R5D|PTEN|PTPN11|PEX19|PEX2|RAD51|RAD51C|SMARCB1|SMARCE1|SURF1|TBX1|TBX15|TCOF1|TFAP2B|BEST1|SHOC2|ARID1A|PEX3|AP3B1|SUCLA2|CRLF1|PEX16|TBX4|POLR1C|PQBP1|CD96|YAP1|CTCF|RAI1|HPS5|TREX1|SPART|RPGRIP1L|ATP13A2|NIPBL|NSDHL|POLR1D|ABHD5|LARP7|MKS1|SHROOM4|CC2D2A|SIL1|PALB2|HPS6|EHMT1|COL18A1|SLC2A10|BRIP1|RNF135|TMEM67|CHST14|ARX|ARL13B|HYLS1|NDUFS7,-71,0
1,-73,C0010417,M1,1,0,DisGeNET,35,Cryptorchidism,,-73,11,31,30169,725,374,99,26,2.3,25|268|269|367|545|582|583|585|641|672|675|701|998|1108|1161|1387|1717|1723|2033|2068|2099|2121|2200|2245|2260|2263|2317|2706|2733|2812|3730|3784|3845|3981|4204|4214|4281|4593|4692|4763|4853|5189|5192|5194|5195|5290|5426|5447|5781|5824|5828|5879|5888|5889|5913|6598|6605|6638|6663|6899|6905|6949|7259|8036|8195|8289|8504|9409|9533|10225|10664|11285|22930|23322|25782|25836|27241|51057|51082|51360|51715|54903|55212|57545|60675|79728|79738|79813|80144|83990|91147|113189|129880|145173|147372|157570|166379|170302|219844,ABL1|AMH|AMHR2|AR|ATR|BBS1|BBS2|BBS4|BLM|BRCA1|BRCA2|BUB1B|CDC42|CHD4|ERCC8|CREBBP|DHCR7|DHODH|EP300|ERCC2|ESR1|EVC|FBN1|FGD1|FGFR1|FGFR2|FLNB|GJB2|GLE1|GP1BB|ANOS1|KCNQ1|KRAS|LIG4|MECP2|MAP3K1|MID1|MUSK|NDN|NF1|NOTCH2|PEX1|PEX10|PEX13|PEX14|PIK3CA|POLE|POR|PTPN11|PEX19|PEX2|RAC1|RAD51|RAD51C|RAPSN|SMARCB1|SMARCE1|SNRPN|SOX10|TBX1|TBCE|TCOF1|TSPYL1|SHOC2|MKKS|ARID1A|PEX3|PEX16|POLR1C|CD96|CTCF|B4GALT7|RAB3GAP1|RPGRIP1L|RAB3GAP2|NIPBL|BBS9|WDPCP|POLR1D|MBTPS2|RAB23|MKS1|BBS7|CC2D2A|PROK2|PALB2|BBS10|EHMT1|FRAS1|BRIP1|TMEM67|CHST14|BBS5|B3GLCT|CCBE1|ESCO2|BBS12|ARX|HYLS1,-69,0
1,-71,C0033377,M1,1,0,DisGeNET,35,Ptosis,,-71,12,31,30169,607,374,91,24,2.2,207|596|617|672|675|998|1103|1108|1144|1145|1387|1716|1717|1890|2033|2200|2245|2260|2263|2303|2733|2812|3479|3630|3730|3845|3981|4010|4038|4128|4204|4593|4695|4722|4723|4724|4728|4763|4810|5189|5192|5194|5195|5291|5296|5728|5781|5824|5828|5888|5889|5913|5925|6535|6567|6598|6605|6663|6834|6899|6949|7021|7040|7054|7156|7466|8289|8504|8803|9409|10413|10535|11277|22930|23322|25836|26128|51099|54903|57545|60675|79621|79728|83990|84153|91147|145173|161742|200894|219844|374291,AKT1|BCL2|BCS1L|BRCA1|BRCA2|CDC42|CHAT|CHD4|CHRND|CHRNE|CREBBP|DGUOK|DHCR7|TYMP|EP300|FBN1|FGD1|FGFR1|FGFR2|FOXC2|GLE1|GP1BB|IGF1|INS|ANOS1|KRAS|LIG4|LMX1B|LRP4|MAOA|MECP2|MUSK|NDUFA2|NDUFS3|NDUFV1|NDUFS4|NDUFS8|NF1|NHS|PEX1|PEX10|PEX13|PEX14|PIK3CB|PIK3R2|PTEN|PTPN11|PEX19|PEX2|RAD51|RAD51C|RAPSN|RB1|SLC6A8|SLC16A2|SMARCB1|SMARCE1|SOX10|SURF1|TBX1|TCOF1|TFAP2B|TGFB1|TH|TOP3A|WFS1|ARID1A|PEX3|SUCLA2|PEX16|YAP1|RNASEH2A|TREX1|RAB3GAP1|RPGRIP1L|NIPBL|KIFBP|ABHD5|MKS1|CC2D2A|PROK2|RNASEH2B|PALB2|BRIP1|RNASEH2C|TMEM67|B3GLCT|SPRED1|ARL13B|HYLS1|NDUFS7,-67,0
1,-70,C0005745,M1,1,0,DisGeNET,35,Blepharoptosis,,-70,12,31,30169,595,374,90,24,2.2,207|617|672|675|998|1103|1108|1144|1145|1387|1716|1717|1890|2033|2200|2245|2260|2263|2303|2733|2812|3479|3630|3730|3845|3981|4010|4038|4128|4204|4358|4593|4695|4722|4723|4724|4728|4763|4810|5189|5192|5194|5195|5291|5296|5728|5781|5824|5828|5888|5889|5913|5925|6535|6567|6598|6605|6663|6834|6899|6949|7021|7054|7156|7466|8289|8504|8803|9409|10413|10535|11277|22930|23322|25836|26128|51099|54903|57545|60675|79621|79728|83990|84153|91147|145173|161742|200894|219844|374291,AKT1|BCS1L|BRCA1|BRCA2|CDC42|CHAT|CHD4|CHRND|CHRNE|CREBBP|DGUOK|DHCR7|TYMP|EP300|FBN1|FGD1|FGFR1|FGFR2|FOXC2|GLE1|GP1BB|IGF1|INS|ANOS1|KRAS|LIG4|LMX1B|LRP4|MAOA|MECP2|MPV17|MUSK|NDUFA2|NDUFS3|NDUFV1|NDUFS4|NDUFS8|NF1|NHS|PEX1|PEX10|PEX13|PEX14|PIK3CB|PIK3R2|PTEN|PTPN11|PEX19|PEX2|RAD51|RAD51C|RAPSN|RB1|SLC6A8|SLC16A2|SMARCB1|SMARCE1|SOX10|SURF1|TBX1|TCOF1|TFAP2B|TH|TOP3A|WFS1|ARID1A|PEX3|SUCLA2|PEX16|YAP1|RNASEH2A|TREX1|RAB3GAP1|RPGRIP1L|NIPBL|KIFBP|ABHD5|MKS1|CC2D2A|PROK2|RNASEH2B|PALB2|BRIP1|RNASEH2C|TMEM67|B3GLCT|SPRED1|ARL13B|HYLS1|NDUFS7,-67,0
1,-70,C0025990,M1,1,0,DisGeNET,35,Micrognathism,,-70,12,31,30169,586,374,89,24,2.2,25|207|545|672|675|701|1144|1302|1387|1717|1723|2033|2065|2067|2068|2121|2138|2200|2248|2260|2263|2317|2733|2812|3479|3759|3845|3981|4038|4204|4593|4683|4763|4853|5189|5192|5194|5195|5290|5295|5426|5728|5781|5818|5824|5828|5888|5889|5913|5925|5932|6125|6899|6905|6913|6949|7466|8504|9244|9409|9496|9533|9939|10084|10225|10743|22930|23322|23529|25782|25836|50814|51057|51082|51715|54903|55640|56975|57545|79728|81031|83990|91147|145173|157570|161742|170302|219844|285590,ABL1|AKT1|ATR|BRCA1|BRCA2|BUB1B|CHRND|COL11A2|CREBBP|DHCR7|DHODH|EP300|ERBB3|ERCC1|ERCC2|EVC|EYA1|FBN1|FGF3|FGFR1|FGFR2|FLNB|GLE1|GP1BB|IGF1|KCNJ2|KRAS|LIG4|LRP4|MECP2|MUSK|NBN|NF1|NOTCH2|PEX1|PEX10|PEX13|PEX14|PIK3CA|PIK3R1|POLE|PTEN|PTPN11|NECTIN1|PEX19|PEX2|RAD51|RAD51C|RAPSN|RB1|RBBP8|RPL5|TBX1|TBCE|TBX15|TCOF1|WFS1|PEX3|CRLF1|PEX16|TBX4|POLR1C|RBM8A|PQBP1|CD96|RAI1|RAB3GAP1|RPGRIP1L|CLCF1|RAB3GAP2|NIPBL|NSDHL|WDPCP|POLR1D|RAB23|MKS1|FLVCR2|FAM20C|CC2D2A|PALB2|SLC2A10|BRIP1|TMEM67|B3GLCT|ESCO2|SPRED1|ARX|HYLS1|SH3PXD2B,-66,0
1,-65,C1963184,M1,1,0,DisGeNET,35,"Nystagmus, CTCAE 3.0",,-65,9.8,28,30169,779,374,95,25,2.3,472|582|583|585|617|672|675|701|1103|1130|1161|1499|1716|1717|2067|2068|2200|2260|3166|3257|3730|3845|3981|4038|4358|4647|4695|4722|4723|4724|4728|4810|5189|5192|5194|5195|5308|5781|5824|5828|5888|5889|6598|6605|6663|6834|7401|7439|7466|7515|8195|8289|8504|8546|8869|9409|9657|10002|10413|10535|10560|11277|23322|23400|25836|26504|27241|51057|51099|51360|54903|55212|57545|60675|64374|79621|79728|79738|79803|80781|83990|84153|84343|91147|129880|145173|146227|157570|166379|170302|200894|219844|374291|392255|493856,ATM|BBS1|BBS2|BBS4|BCS1L|BRCA1|BRCA2|BUB1B|CHAT|LYST|ERCC8|CTNNB1|DGUOK|DHCR7|ERCC1|ERCC2|FBN1|FGFR1|HMX1|HPS1|ANOS1|KRAS|LIG4|LRP4|MPV17|MYO7A|NDUFA2|NDUFS3|NDUFV1|NDUFS4|NDUFS8|NHS|PEX1|PEX10|PEX13|PEX14|PITX2|PTPN11|PEX19|PEX2|RAD51|RAD51C|SMARCB1|SMARCE1|SOX10|SURF1|CLRN1|BEST1|WFS1|XRCC1|MKKS|ARID1A|PEX3|AP3B1|ST3GAL5|PEX16|IQCB1|NR2E3|YAP1|RNASEH2A|SLC19A2|TREX1|RPGRIP1L|ATP13A2|NIPBL|CNNM4|BBS9|WDPCP|ABHD5|MBTPS2|MKS1|BBS7|CC2D2A|PROK2|SIL1|RNASEH2B|PALB2|BBS10|HPS6|COL18A1|BRIP1|RNASEH2C|HPS3|TMEM67|BBS5|B3GLCT|BEAN1|ESCO2|BBS12|ARX|ARL13B|HYLS1|NDUFS7|GDF6|CISD2,-62,0
1,-65,C4554036,M1,1,0,DisGeNET,35,"Nystagmus, CTCAE 5.0",,-65,9.8,28,30169,779,374,95,25,2.3,472|582|583|585|617|672|675|701|1103|1130|1161|1499|1716|1717|2067|2068|2200|2260|3166|3257|3730|3845|3981|4038|4358|4647|4695|4722|4723|4724|4728|4810|5189|5192|5194|5195|5308|5781|5824|5828|5888|5889|6598|6605|6663|6834|7401|7439|7466|7515|8195|8289|8504|8546|8869|9409|9657|10002|10413|10535|10560|11277|23322|23400|25836|26504|27241|51057|51099|51360|54903|55212|57545|60675|64374|79621|79728|79738|79803|80781|83990|84153|84343|91147|129880|145173|146227|157570|166379|170302|200894|219844|374291|392255|493856,ATM|BBS1|BBS2|BBS4|BCS1L|BRCA1|BRCA2|BUB1B|CHAT|LYST|ERCC8|CTNNB1|DGUOK|DHCR7|ERCC1|ERCC2|FBN1|FGFR1|HMX1|HPS1|ANOS1|KRAS|LIG4|LRP4|MPV17|MYO7A|NDUFA2|NDUFS3|NDUFV1|NDUFS4|NDUFS8|NHS|PEX1|PEX10|PEX13|PEX14|PITX2|PTPN11|PEX19|PEX2|RAD51|RAD51C|SMARCB1|SMARCE1|SOX10|SURF1|CLRN1|BEST1|WFS1|XRCC1|MKKS|ARID1A|PEX3|AP3B1|ST3GAL5|PEX16|IQCB1|NR2E3|YAP1|RNASEH2A|SLC19A2|TREX1|RPGRIP1L|ATP13A2|NIPBL|CNNM4|BBS9|WDPCP|ABHD5|MBTPS2|MKS1|BBS7|CC2D2A|PROK2|SIL1|RNASEH2B|PALB2|BBS10|HPS6|COL18A1|BRIP1|RNASEH2C|HPS3|TMEM67|BBS5|B3GLCT|BEAN1|ESCO2|BBS12|ARX|ARL13B|HYLS1|NDUFS7|GDF6|CISD2,-62,0
1,-61,C0020534,M1,1,0,DisGeNET,35,Orbital separation excessive,,-61,11,28,30169,590,374,82,22,2.1,207|551|672|675|701|998|999|1108|1144|1302|1717|2068|2200|2245|2248|2260|2263|2317|2733|2812|3730|3759|3845|3981|4038|4281|4593|4763|4853|5189|5290|5295|5296|5308|5447|5518|5528|5728|5781|5828|5888|5889|5913|5925|6125|6663|6774|6899|6905|6913|6949|7021|8036|8504|8812|9342|9496|9533|10000|10743|23111|23322|26128|51057|51082|54903|56975|57477|57545|60675|79728|79813|80144|81031|83990|91147|113189|145173|147372|157570|161742|285590,AKT1|AVP|BRCA1|BRCA2|BUB1B|CDC42|CDH1|CHD4|CHRND|COL11A2|DHCR7|ERCC2|FBN1|FGD1|FGF3|FGFR1|FGFR2|FLNB|GLE1|GP1BB|ANOS1|KCNJ2|KRAS|LIG4|LRP4|MID1|MUSK|NF1|NOTCH2|PEX1|PIK3CA|PIK3R1|PIK3R2|PITX2|POR|PPP2R1A|PPP2R5D|PTEN|PTPN11|PEX2|RAD51|RAD51C|RAPSN|RB1|RPL5|SOX10|STAT3|TBX1|TBCE|TBX15|TCOF1|TFAP2B|SHOC2|PEX3|CCNK|SNAP29|TBX4|POLR1C|AKT3|RAI1|SPART|RPGRIP1L|KIFBP|WDPCP|POLR1D|MKS1|FAM20C|SHROOM4|CC2D2A|PROK2|PALB2|EHMT1|FRAS1|SLC2A10|BRIP1|TMEM67|CHST14|B3GLCT|CCBE1|ESCO2|SPRED1|SH3PXD2B,-57,0
