_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.2,PGB:00015,M1,1,0,PaGenBase,36,Tissue-specific: Smooth Muscle,,-5.2,7,6.9,30169,103,374,9,2.4,0.79,1000|1290|2200|3569|3576|5054|5351|5352|10468,CDH2|COL5A2|FBN1|IL6|CXCL8|SERPINE1|PLOD1|PLOD2|FST,-4.2,0
1,-5.1,PGB:00036,M1,1,0,PaGenBase,36,Cell-specific: MOLT4,,-5.1,5.9,6.4,30169,137,374,10,2.7,0.83,2625|2812|3932|5172|5308|5426|5925|5994|10225|79621,GATA3|GP1BB|LCK|SLC26A4|PITX2|POLE|RB1|RFXAP|CD96|RNASEH2B,-4,0
1,-4.2,PGB:00082,M1,1,0,PaGenBase,36,Cell-specific: Breast cell,,-4.2,8.8,6.5,30169,55,374,6,1.6,0.65,999|2353|2625|3169|4256|79083,CDH1|FOS|GATA3|FOXA1|MGP|MLPH,-3.3,0
1,-4,PGB:00120,M1,1,0,PaGenBase,36,Cell-specific: Cardiac Myocytes,,-4,8.1,6.1,30169,60,374,6,1.6,0.65,1000|3569|5054|5351|5352|25937,CDH2|IL6|SERPINE1|PLOD1|PLOD2|WWTR1,-3.1,0
1,-3.4,PGB:00004,M1,1,0,PaGenBase,36,Tissue-specific: kidney,,-3.4,2.7,4.2,30169,483,374,16,4.3,1,596|1187|1188|1950|2068|2625|3758|4868|5172|5465|5599|6340|6559|7021|7809|7827,BCL2|CLCNKA|CLCNKB|EGF|ERCC2|GATA3|KCNJ1|NPHS1|SLC26A4|PPARA|MAPK8|SCNN1G|SLC12A3|TFAP2B|BSND|NPHS2,-2.5,0
1,-3.3,PGB:00047,M1,1,0,PaGenBase,36,Cell-specific: THY+,,-3.3,5.1,4.8,30169,111,374,7,1.9,0.7,551|1187|1908|2099|3576|4763|6714,AVP|CLCNKA|EDN3|ESR1|CXCL8|NF1|SRC,-2.5,0
1,-3.1,PGB:00041,M1,1,0,PaGenBase,36,Tissue-specific: Blood,,-3.1,3.4,4.1,30169,239,374,10,2.7,0.83,841|1130|1432|2212|3659|3759|5728|51099|60675|83990,CASP8|LYST|MAPK14|FCGR2A|IRF1|KCNJ2|PTEN|ABHD5|PROK2|BRIP1,-2.2,0
1,-2.6,PGB:00054,M1,1,0,PaGenBase,36,Tissue-specific: thyroid,,-2.6,3.1,3.6,30169,232,374,9,2.4,0.79,1908|3667|4763|4982|5172|5828|5993|11005|23363,EDN3|IRS1|NF1|TNFRSF11B|SLC26A4|PEX2|RFX5|SPINK5|OBSL1,-1.8,0
1,-2.4,PGB:00025,M1,1,0,PaGenBase,36,Tissue-specific: pancreas,,-2.4,3,3.5,30169,245,374,9,2.4,0.79,1103|1144|1663|2249|2815|3630|4810|5818|80144,CHAT|CHRND|DDX11|FGF4|GP9|INS|NHS|NECTIN1|FRAS1,-1.7,0
1,-2.3,PGB:00014,M1,1,0,PaGenBase,36,Cell-specific: DRG,,-2.3,2.3,3.1,30169,455,374,13,3.5,0.95,1130|2065|2214|3730|4695|5170|6416|6663|7054|7439|8821|27241|146227,LYST|ERBB3|FCGR3A|ANOS1|NDUFA2|PDPK1|MAP2K4|SOX10|TH|BEST1|INPP4B|BBS9|BEAN1,-1.5,0
1,-2.1,PGB:00048,M1,1,0,PaGenBase,36,Tissue-specific: bone marrow,,-2.1,2.8,3.1,30169,228,374,8,2.1,0.75,641|2099|3257|3576|8869|23529|81027|91662,BLM|ESR1|HPS1|CXCL8|ST3GAL5|CLCF1|TUBB1|NLRP12,-1.3,0
1,-2,PGB:00063,M1,1,0,PaGenBase,36,Cell-specific: OVR278S,,-2,4.8,3.5,30169,67,374,4,1.1,0.53,783|1286|2260|5465,CACNB2|COL4A4|FGFR1|PPARA,-1.3,0
1,-2,PGB:00067,M1,1,0,PaGenBase,36,Cell-specific: Brain cell,,-2,4.8,3.5,30169,67,374,4,1.1,0.53,1290|2200|5054|10468,COL5A2|FBN1|SERPINE1|FST,-1.3,0
