_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-25,TRR01256,M1,1,0,TRRUST,34,Regulated by: SP1,,-25,7.1,16,30169,523,374,46,12,1.7,240|268|367|472|595|596|672|1000|1019|1027|1029|1302|1890|1950|1956|2064|2099|2200|2260|2317|2353|2625|2668|2950|3569|3757|4014|4695|4723|4763|4790|4835|5054|5447|5728|5970|6338|6638|6648|6714|7040|7054|7422|10021|10560|80781,ALOX5|AMH|AR|ATM|CCND1|BCL2|BRCA1|CDH2|CDK4|CDKN1B|CDKN2A|COL11A2|TYMP|EGF|EGFR|ERBB2|ESR1|FBN1|FGFR1|FLNB|FOS|GATA3|GDNF|GSTP1|IL6|KCNH2|LORICRIN|NDUFA2|NDUFV1|NF1|NFKB1|NQO2|SERPINE1|POR|PTEN|RELA|SCNN1B|SNRPN|SOD2|SRC|TGFB1|TH|VEGFA|HCN4|SLC19A2|COL18A1,-23,0
1,-21,TRR00275,M1,1,0,TRRUST,34,Regulated by: ESR1,,-21,19,19,30169,87,374,21,5.6,1.2,268|367|551|595|596|641|672|999|1019|1027|1103|1499|1956|2099|2353|3717|3725|5054|7157|7422|10535,AMH|AR|AVP|CCND1|BCL2|BLM|BRCA1|CDH1|CDK4|CDKN1B|CHAT|CTNNB1|EGFR|ESR1|FOS|JAK2|JUN|SERPINE1|TP53|VEGFA|RNASEH2A,-19,0
1,-17,TRR01419,M1,1,0,TRRUST,34,Regulated by: TP53,,-17,11,15,30169,175,374,24,6.4,1.3,207|240|595|596|672|675|1017|1019|1027|1499|1956|2099|2950|4194|4790|5728|5925|5970|6774|7157|7422|10498|11200|64065,AKT1|ALOX5|CCND1|BCL2|BRCA1|BRCA2|CDK2|CDK4|CDKN1B|CTNNB1|EGFR|ESR1|GSTP1|MDM4|NFKB1|PTEN|RB1|RELA|STAT3|TP53|VEGFA|CARM1|CHEK2|PERP,-16,0
1,-16,TRR00875,M1,1,0,TRRUST,34,Regulated by: NFKB1,,-16,7.1,13,30169,339,374,30,8,1.4,207|240|268|367|595|596|675|999|1019|1956|2625|2668|2950|3569|3576|3659|4072|4790|5054|5728|6648|6891|6892|7040|7157|7422|9611|10498|10535|10664,AKT1|ALOX5|AMH|AR|CCND1|BCL2|BRCA2|CDH1|CDK4|EGFR|GATA3|GDNF|GSTP1|IL6|CXCL8|IRF1|EPCAM|NFKB1|SERPINE1|PTEN|SOD2|TAP2|TAPBP|TGFB1|TP53|VEGFA|NCOR1|CARM1|RNASEH2A|CTCF,-15,0
1,-16,TRR01158,M1,1,0,TRRUST,34,Regulated by: RELA,,-16,7,12,30169,333,374,29,7.8,1.4,207|240|268|367|595|596|675|999|1019|1956|2625|2950|3569|3576|3659|4072|4790|5054|5465|5728|6648|6774|6891|6892|7157|7422|9611|10498|10535,AKT1|ALOX5|AMH|AR|CCND1|BCL2|BRCA2|CDH1|CDK4|EGFR|GATA3|GSTP1|IL6|CXCL8|IRF1|EPCAM|NFKB1|SERPINE1|PPARA|PTEN|SOD2|STAT3|TAP2|TAPBP|TP53|VEGFA|NCOR1|CARM1|RNASEH2A,-14,0
1,-15,TRR00075,M1,1,0,TRRUST,34,Regulated by: BRCA1,,-15,21,17,30169,59,374,15,4,1,472|595|675|1027|1956|2033|2099|2303|2353|3479|3717|6774|7422|10468|83990,ATM|CCND1|BRCA2|CDKN1B|EGFR|EP300|ESR1|FOXC2|FOS|IGF1|JAK2|STAT3|VEGFA|FST|BRIP1,-14,0
1,-14,TRR01277,M1,1,0,TRRUST,34,Regulated by: STAT3,,-14,10,13,30169,161,374,20,5.3,1.2,207|367|595|596|999|1019|1027|1956|2353|3569|3576|3659|3717|4179|5465|5728|7040|7157|7422|10535,AKT1|AR|CCND1|BCL2|CDH1|CDK4|CDKN1B|EGFR|FOS|IL6|CXCL8|IRF1|JAK2|CD46|PPARA|PTEN|TGFB1|TP53|VEGFA|RNASEH2A,-12,0
1,-14,TRR00230,M1,1,0,TRRUST,34,Regulated by: E2F1,,-14,11,13,30169,142,374,19,5.1,1.1,367|472|595|596|672|1029|1387|2067|2260|5054|5599|5888|5925|6240|7153|7157|7422|7515|11200,AR|ATM|CCND1|BCL2|BRCA1|CDKN2A|CREBBP|ERCC1|FGFR1|SERPINE1|MAPK8|RAD51|RB1|RRM1|TOP2A|TP53|VEGFA|XRCC1|CHEK2,-12,0
1,-14,TRR00011,M1,1,0,TRRUST,34,Regulated by: AR,,-14,13,14,30169,106,374,17,4.5,1.1,207|999|1000|1499|1956|2033|2064|2065|3169|3725|4281|4790|5469|5728|5970|7054|7422,AKT1|CDH1|CDH2|CTNNB1|EGFR|EP300|ERBB2|ERBB3|FOXA1|JUN|MID1|NFKB1|MED1|PTEN|RELA|TH|VEGFA,-12,0
1,-12,TRR00253,M1,1,0,TRRUST,34,Regulated by: EGR1,,-12,12,13,30169,99,374,15,4,1,240|367|595|1956|2033|2668|3569|3576|4790|5447|5728|7054|7157|7422|54345,ALOX5|AR|CCND1|EGFR|EP300|GDNF|IL6|CXCL8|NFKB1|POR|PTEN|TH|TP53|VEGFA|SOX18,-10,0
1,-11,TRR01012,M1,1,0,TRRUST,34,Regulated by: PARP1,,-11,28,15,30169,26,374,9,2.4,0.79,596|675|999|2200|3725|4790|5054|5970|6598,BCL2|BRCA2|CDH1|FBN1|JUN|NFKB1|SERPINE1|RELA|SMARCB1,-9.3,0
1,-11,TRR00466,M1,1,0,TRRUST,34,Regulated by: HDAC1,,-11,13,12,30169,81,374,13,3.5,0.95,367|595|675|999|1029|1956|2099|2353|3576|4072|4790|6774|7157,AR|CCND1|BRCA2|CDH1|CDKN2A|EGFR|ESR1|FOS|CXCL8|EPCAM|NFKB1|STAT3|TP53,-9.2,0
1,-10,TRR01529,M1,1,0,TRRUST,34,Regulated by: WT1,,-10,14,12,30169,68,374,12,3.2,0.91,268|367|596|999|1956|3479|3725|4695|4868|7422|10535|10664,AMH|AR|BCL2|CDH1|EGFR|IGF1|JUN|NDUFA2|NPHS1|VEGFA|RNASEH2A|CTCF,-8.9,0
