_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-8.7,M13849,M1,1,0,Transcription Factor Targets,16,TGACATY UNKNOWN,,-8.7,3.6,7.6,30169,676,374,30,8,1.4,25|323|596|1075|1108|1287|1956|2065|2138|2263|2290|2353|2534|3479|3725|3757|3845|4010|4281|4647|5295|5352|5913|5970|6774|7809|8821|10021|55800|124590,ABL1|APBB2|BCL2|CTSC|CHD4|COL4A5|EGFR|ERBB3|EYA1|FGFR2|FOXG1|FOS|FYN|IGF1|JUN|KCNH2|KRAS|LMX1B|MID1|MYO7A|PIK3R1|PLOD2|RAPSN|RELA|STAT3|BSND|INPP4B|HCN4|SCN3B|USH1G,-7.4,0
1,-7,M17420,M1,1,0,Transcription Factor Targets,16,WGGAATGY TEF1 Q6,,-7,4.2,7,30169,387,374,20,5.3,1.2,1017|1108|1287|1302|2064|2099|2263|3757|4281|4593|4853|5781|5913|7401|8289|9244|9992|60675|147912|161742,CDK2|CHD4|COL4A5|COL11A2|ERBB2|ESR1|FGFR2|KCNH2|MID1|MUSK|NOTCH2|PTPN11|RAPSN|CLRN1|ARID1A|CRLF1|KCNE2|PROK2|SIX5|SPRED1,-5.8,0
1,-6.5,M11968,M1,1,0,Transcription Factor Targets,16,NKX61 01,,-6.5,5.1,7.2,30169,235,374,15,4,1,675|1302|2138|2263|2625|4281|5932|6119|7401|9611|25836|54345|54894|166379|170302,BRCA2|COL11A2|EYA1|FGFR2|GATA3|MID1|RBBP8|RPA3|CLRN1|NCOR1|NIPBL|SOX18|RNF43|BBS12|ARX,-5.4,0
1,-6,M6885,M1,1,0,Transcription Factor Targets,16,AREB6 02,,-6,4.7,6.6,30169,259,374,15,4,1,1302|2065|2317|2353|2668|3169|3479|4593|5295|5308|6663|10664|51057|51082|81607,COL11A2|ERBB3|FLNB|FOS|GDNF|FOXA1|IGF1|MUSK|PIK3R1|PITX2|SOX10|CTCF|WDPCP|POLR1D|NECTIN4,-4.9,0
1,-5.9,M11607,M1,1,0,Transcription Factor Targets,16,AAAYRNCTG UNKNOWN,,-5.9,3.9,6.3,30169,375,374,18,4.8,1.1,323|783|1000|1287|2138|2260|2290|2668|3169|3479|4281|4724|7515|8289|10468|55800|60675|170302,APBB2|CACNB2|CDH2|COL4A5|EYA1|FGFR1|FOXG1|GDNF|FOXA1|IGF1|MID1|NDUFS4|XRCC1|ARID1A|FST|SCN3B|PROK2|ARX,-4.8,0
1,-5.8,M16207,M1,1,0,Transcription Factor Targets,16,AP2 Q6 01,,-5.8,4.5,6.4,30169,271,374,15,4,1,429|1103|1108|2138|2245|2812|3757|7422|8289|10499|10664|23054|25836|26504|161742,ASCL1|CHAT|CHD4|EYA1|FGD1|GP1BB|KCNH2|VEGFA|ARID1A|NCOA2|CTCF|NCOA6|NIPBL|CNNM4|SPRED1,-4.7,0
1,-5.2,M16280,M1,1,0,Transcription Factor Targets,16,PITX2 Q2,,-5.2,4.3,6,30169,264,374,14,3.7,0.98,15|596|675|1286|2065|2138|2668|3146|5308|6892|10021|10499|10664|54894,AANAT|BCL2|BRCA2|COL4A4|ERBB3|EYA1|GDNF|HMGB1|PITX2|TAPBP|HCN4|NCOA2|CTCF|RNF43,-4.2,0
1,-5.2,M15183,M1,1,0,Transcription Factor Targets,16,E12 Q6,,-5.2,4.3,6,30169,265,374,14,3.7,0.98,1000|1144|1286|2534|2706|2885|3845|5192|5465|8869|23171|29071|51082|51422,CDH2|CHRND|COL4A4|FYN|GJB2|GRB2|KRAS|PEX10|PPARA|ST3GAL5|GPD1L|C1GALT1C1|POLR1D|PRKAG2,-4.1,0
1,-5.1,M30042,M1,1,0,Transcription Factor Targets,16,KMT2D TARGET GENES,,-5.1,2.6,5.2,30169,795,374,26,7,1.3,1723|1956|2067|3257|3757|4072|4194|4724|5290|5352|5781|5879|5932|6119|7157|7515|9531|10413|11200|25937|51057|54894|64374|81607|285590|374291,DHODH|EGFR|ERCC1|HPS1|KCNH2|EPCAM|MDM4|NDUFS4|PIK3CA|PLOD2|PTPN11|RAC1|RBBP8|RPA3|TP53|XRCC1|BAG3|YAP1|CHEK2|WWTR1|WDPCP|RNF43|SIL1|NECTIN4|SH3PXD2B|NDUFS7,-4.1,0
1,-5.1,M2490,M1,1,0,Transcription Factor Targets,16,STAT6 01,,-5.1,4.2,5.9,30169,272,374,14,3.7,0.98,1432|2033|2534|3169|4593|4982|5054|5296|5970|6774|7401|10468|54894|161742,MAPK14|EP300|FYN|FOXA1|MUSK|TNFRSF11B|SERPINE1|PIK3R2|RELA|STAT3|CLRN1|FST|RNF43|SPRED1,-4,0
