Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
5889,3.0,1,1,1
2811,3.0,1,1,1
129880,3.0,1,1,1
25836,3.0,1,1,1
8803,3.0,1,1,1
4292,3.0,1,1,1
783,3.0,1,1,1
5528,3.0,1,1,1
4593,3.0,1,1,1
595,3.0,1,1,1
1956,3.0,1,1,1
83990,3.0,1,1,1
6338,3.0,1,1,1
5518,3.0,1,1,1
8864,3.0,1,1,1
950,3.0,1,1,1
4724,3.0,1,1,1
1565,3.0,1,1,1
5970,3.0,1,1,1
3730,3.0,1,1,1
285590,3.0,1,1,1
5594,3.0,1,1,1
3169,3.0,1,1,1
6663,3.0,1,1,1
5296,3.0,1,1,1
4982,3.0,1,1,1
91147,3.0,1,1,1
3981,3.0,1,1,1
6117,3.0,1,1,1
1290,3.0,1,1,1
1103,3.0,1,1,1
4695,3.0,1,1,1
1130,3.0,1,1,1
4851,3.0,1,1,1
6648,3.0,1,1,1
6891,3.0,1,1,1
4868,3.0,1,1,1
3753,3.0,1,1,1
5335,3.0,1,1,1
580,3.0,1,1,1
3759,3.0,1,1,1
5825,3.0,1,1,1
60675,3.0,1,1,1
7466,3.0,1,1,1
3932,3.0,1,1,1
9025,3.0,1,1,1
374291,3.0,1,1,1
2260,3.0,1,1,1
269,3.0,1,1,1
4723,3.0,1,1,1
51422,3.0,1,1,1
6892,3.0,1,1,1
54903,3.0,1,1,1
1029,3.0,1,1,1
2099,3.0,1,1,1
1286,3.0,1,1,1
8546,3.0,1,1,1
7515,3.0,1,1,1
11234,3.0,1,1,1
5351,3.0,1,1,1
4194,3.0,1,1,1
4149,3.0,1,1,1
81031,3.0,1,1,1
7156,3.0,1,1,1
6416,3.0,1,1,1
8405,3.0,1,1,1
2200,3.0,1,1,1
2052,3.0,1,1,1
3757,3.0,1,1,1
79083,3.0,1,1,1
51715,3.0,1,1,1
81027,3.0,1,1,1
11277,3.0,1,1,1
2512,3.0,1,1,1
9663,3.0,1,1,1
64374,3.0,1,1,1
6119,3.0,1,1,1
4038,3.0,1,1,1
323,3.0,1,1,1
10999,3.0,1,1,1
4692,3.0,1,1,1
196527,3.0,1,1,1
551,3.0,1,1,1
3257,3.0,1,1,1
429,3.0,1,1,1
1717,3.0,1,1,1
8821,3.0,1,1,1
3736,3.0,1,1,1
4204,3.0,1,1,1
1890,3.0,1,1,1
9657,3.0,1,1,1
5888,3.0,1,1,1
5599,3.0,1,1,1
7153,3.0,1,1,1
56975,3.0,1,1,1
10468,3.0,1,1,1
