,train_size,models,train_scores_fold1,train_scores_fold2,train_scores_fold3,train_scores_fold4,train_scores_fold5,train_scores_fold6,train_scores_fold7,train_scores_fold8,train_scores_fold9,train_scores_fold10,test_scores_fold1,test_scores_fold2,test_scores_fold3,test_scores_fold4,test_scores_fold5,test_scores_fold6,test_scores_fold7,test_scores_fold8,test_scores_fold9,test_scores_fold10,fit_times_fold1,fit_times_fold2,fit_times_fold3,fit_times_fold4,fit_times_fold5,fit_times_fold6,fit_times_fold7,fit_times_fold8,fit_times_fold9,fit_times_fold10
0,31,SVM,0.9354838709677419,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.45714285714285713,0.8285714285714286,0.8571428571428571,0.7428571428571429,0.8285714285714286,0.9142857142857143,0.8,0.7428571428571429,0.8,0.8823529411764706,0.5444653034210205,0.08943700790405273,0.06633806228637695,0.04713177680969238,0.04757332801818848,0.06017041206359863,0.05435299873352051,0.04708099365234375,0.048880577087402344,0.05107712745666504
1,62,SVM,0.967741935483871,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9142857142857143,0.8285714285714286,0.8571428571428571,0.8285714285714286,0.8857142857142857,0.8857142857142857,0.7941176470588235,0.3558979034423828,0.09144806861877441,0.0747833251953125,0.052933454513549805,0.05357718467712402,0.05474591255187988,0.05415463447570801,0.05787801742553711,0.054654836654663086,0.057050228118896484
2,94,SVM,0.9787234042553191,0.9787234042553191,0.9680851063829787,0.9574468085106383,0.9574468085106383,0.9574468085106383,0.9574468085106383,0.9574468085106383,0.9574468085106383,0.9574468085106383,0.9142857142857143,0.9142857142857143,1.0,0.7428571428571429,0.8571428571428571,0.8285714285714286,0.9142857142857143,0.8857142857142857,0.8857142857142857,0.8235294117647058,0.335676908493042,0.06393671035766602,0.14990854263305664,0.07990789413452148,0.06186556816101074,0.06311750411987305,0.06244921684265137,0.06187176704406738,0.06231403350830078,0.08257174491882324
3,125,SVM,0.992,0.976,1.0,0.968,0.976,0.976,0.976,0.976,0.976,0.976,0.9142857142857143,0.9142857142857143,0.8857142857142857,0.8,0.8571428571428571,0.8857142857142857,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9117647058823529,0.18346095085144043,0.07409071922302246,0.08879470825195312,0.07390832901000977,0.07583117485046387,0.07417702674865723,0.0743410587310791,0.07369232177734375,0.09888267517089844,0.09562516212463379
4,157,SVM,0.9936305732484076,0.9681528662420382,0.9936305732484076,0.9681528662420382,0.9808917197452229,0.9808917197452229,0.9808917197452229,0.9808917197452229,0.9808917197452229,0.9808917197452229,0.9428571428571428,0.9142857142857143,0.9714285714285714,0.7714285714285715,0.8857142857142857,0.9142857142857143,0.9714285714285714,0.9428571428571428,0.9142857142857143,0.9117647058823529,0.25182271003723145,0.09559440612792969,0.09238123893737793,0.09027934074401855,0.08946776390075684,0.10966229438781738,0.09171843528747559,0.11124157905578613,0.10048389434814453,0.11984395980834961
5,188,SVM,0.9946808510638298,0.9680851063829787,1.0,0.9680851063829787,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.8857142857142857,0.8285714285714286,0.9428571428571428,0.7714285714285715,0.8857142857142857,0.9142857142857143,0.9428571428571428,0.9142857142857143,0.9714285714285714,0.8823529411764706,0.194258451461792,0.10804128646850586,0.1105806827545166,0.1052849292755127,0.10467123985290527,0.1064751148223877,0.10476517677307129,0.10657954216003418,0.12575721740722656,0.10782480239868164
6,219,SVM,0.9954337899543378,0.9817351598173516,0.9817351598173516,0.9680365296803652,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9142857142857143,0.8857142857142857,0.9428571428571428,0.8,0.8571428571428571,0.9428571428571428,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9117647058823529,0.3281826972961426,0.13474321365356445,0.12984156608581543,0.12343120574951172,0.12324666976928711,0.12650513648986816,0.14195513725280762,0.14146065711975098,0.12335729598999023,0.1285388469696045
7,251,SVM,0.9920318725099602,0.9840637450199203,1.0,0.9840637450199203,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.8857142857142857,0.8857142857142857,0.9714285714285714,0.8,0.8857142857142857,0.9428571428571428,1.0,0.9714285714285714,0.9714285714285714,0.9411764705882353,0.2497265338897705,0.14742016792297363,0.1641709804534912,0.16958856582641602,0.14748740196228027,0.16250157356262207,0.15061378479003906,0.14743781089782715,0.17248010635375977,0.15776300430297852
8,282,SVM,0.9893617021276596,0.9822695035460993,1.0,0.9822695035460993,0.9787234042553191,0.9822695035460993,0.9822695035460993,0.9822695035460993,0.9822695035460993,0.9822695035460993,0.8571428571428571,0.9142857142857143,0.9714285714285714,0.8571428571428571,0.8857142857142857,0.9714285714285714,1.0,0.9428571428571428,1.0,0.9411764705882353,0.24680280685424805,0.18295574188232422,0.16929149627685547,0.1688830852508545,0.16910409927368164,0.1866300106048584,0.16970539093017578,0.18183541297912598,0.1853182315826416,0.17244291305541992
9,314,SVM,0.9808917197452229,0.9808917197452229,0.9904458598726115,0.9808917197452229,0.9777070063694268,0.9745222929936306,0.9777070063694268,0.9745222929936306,0.9745222929936306,0.9808917197452229,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.8857142857142857,0.8857142857142857,0.9714285714285714,1.0,0.9428571428571428,0.9714285714285714,0.9705882352941176,0.390155553817749,0.1954360008239746,0.19723272323608398,0.19801068305969238,0.19424915313720703,0.19630002975463867,0.21454429626464844,0.20016169548034668,0.24053430557250977,0.24390006065368652
10,31,LR,0.9354838709677419,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.6285714285714286,0.7142857142857143,0.8,0.7142857142857143,0.8857142857142857,0.7428571428571429,0.8571428571428571,0.7142857142857143,0.8285714285714286,0.7941176470588235,0.6600663661956787,0.3591623306274414,0.20176196098327637,0.2017223834991455,0.2285163402557373,0.38161230087280273,0.21368980407714844,0.2409827709197998,0.22053813934326172,0.1987760066986084
11,62,LR,0.967741935483871,0.9838709677419355,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.8857142857142857,0.8571428571428571,0.9142857142857143,0.7428571428571429,0.8285714285714286,0.7714285714285715,0.8571428571428571,0.8857142857142857,0.8857142857142857,0.8529411764705882,0.24437165260314941,0.2173933982849121,0.21133208274841309,0.2207338809967041,0.27703380584716797,0.21381187438964844,0.21307730674743652,0.3491501808166504,0.21332001686096191,0.29389214515686035
