,train_size,models,train_scores_fold1,train_scores_fold2,train_scores_fold3,train_scores_fold4,train_scores_fold5,train_scores_fold6,train_scores_fold7,train_scores_fold8,train_scores_fold9,train_scores_fold10,test_scores_fold1,test_scores_fold2,test_scores_fold3,test_scores_fold4,test_scores_fold5,test_scores_fold6,test_scores_fold7,test_scores_fold8,test_scores_fold9,test_scores_fold10,fit_times_fold1,fit_times_fold2,fit_times_fold3,fit_times_fold4,fit_times_fold5,fit_times_fold6,fit_times_fold7,fit_times_fold8,fit_times_fold9,fit_times_fold10
0,31,STACK1,1.0,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.8,0.8571428571428571,0.9428571428571428,0.8285714285714286,0.9714285714285714,0.8857142857142857,0.8285714285714286,0.8285714285714286,0.8571428571428571,0.8823529411764706,4.7415452003479,3.2646803855895996,3.1574294567108154,3.1853933334350586,3.2348482608795166,3.176593065261841,3.2114884853363037,3.249692678451538,3.1595747470855713,3.165527582168579
1,62,STACK1,0.9838709677419355,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.8857142857142857,0.9142857142857143,0.9142857142857143,0.9428571428571428,0.8285714285714286,0.9142857142857143,0.9142857142857143,0.9428571428571428,0.8235294117647058,4.112796068191528,3.5588648319244385,4.132565021514893,4.098989009857178,4.066452503204346,4.072536468505859,4.1314003467559814,4.142955780029297,4.1031858921051025,4.092678070068359
2,94,STACK1,0.9787234042553191,0.9787234042553191,1.0,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.8285714285714286,0.9142857142857143,0.9428571428571428,0.8285714285714286,0.9428571428571428,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.8857142857142857,0.8823529411764706,4.527029514312744,4.1059410572052,5.186706304550171,4.56233549118042,4.671317100524902,4.617685556411743,4.607009172439575,4.5897815227508545,4.649033069610596,4.66170859336853
3,125,STACK1,0.992,0.992,1.0,0.984,0.976,0.976,0.976,0.976,0.976,0.976,0.8571428571428571,0.9714285714285714,0.9142857142857143,0.8285714285714286,0.9142857142857143,0.8571428571428571,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9117647058823529,5.1912102699279785,4.482745170593262,5.234989404678345,4.74612021446228,5.533207654953003,5.08386754989624,5.678271770477295,5.074258089065552,5.1081321239471436,5.092578172683716
4,157,STACK1,0.9936305732484076,0.9936305732484076,1.0,0.9872611464968153,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.8857142857142857,1.0,0.9428571428571428,0.8285714285714286,0.8857142857142857,0.8857142857142857,1.0,0.9714285714285714,0.9428571428571428,0.8823529411764706,5.329446315765381,5.165413856506348,5.858396053314209,5.216747045516968,5.512810230255127,5.4387452602386475,5.56670618057251,5.466814756393433,5.442267656326294,5.472428798675537
5,188,STACK1,0.9946808510638298,0.9946808510638298,1.0,0.9893617021276596,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.8857142857142857,0.9142857142857143,0.9428571428571428,0.8285714285714286,0.9428571428571428,0.9142857142857143,1.0,0.9714285714285714,0.9428571428571428,0.9411764705882353,5.802911758422852,5.515508413314819,6.189077377319336,5.581003904342651,5.889770746231079,5.684517860412598,5.962087869644165,5.940334796905518,5.87249755859375,5.920425891876221
6,219,STACK1,0.9954337899543378,0.9954337899543378,1.0,0.9908675799086758,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9142857142857143,0.9142857142857143,0.9428571428571428,0.8571428571428571,0.9428571428571428,1.0,1.0,0.9428571428571428,0.9714285714285714,0.9117647058823529,6.298218250274658,6.026182174682617,6.967788457870483,6.178243160247803,6.5254669189453125,6.406800031661987,6.345260858535767,6.229603290557861,6.160202264785767,6.18135929107666
7,251,STACK1,1.0,1.0,1.0,0.9920318725099602,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9142857142857143,0.9714285714285714,0.9428571428571428,0.8857142857142857,0.9428571428571428,1.0,1.0,0.9428571428571428,0.9714285714285714,0.9117647058823529,8.428518772125244,8.17110300064087,8.673000574111938,7.757173299789429,8.211826086044312,8.539502382278442,8.263912677764893,7.981372356414795,7.696606159210205,8.077397346496582
8,282,STACK1,0.9964539007092199,1.0,1.0,0.9893617021276596,1.0,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.8857142857142857,0.9714285714285714,0.9428571428571428,0.8857142857142857,0.9428571428571428,0.9714285714285714,1.0,0.9714285714285714,1.0,0.9411764705882353,8.4892737865448,8.065501928329468,8.973591804504395,8.211814165115356,8.823019027709961,8.5458345413208,8.574144124984741,8.332717657089233,8.585151433944702,7.744478464126587
9,314,STACK1,0.9968152866242038,1.0,1.0,0.9936305732484076,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9428571428571428,1.0,0.9714285714285714,0.9428571428571428,0.9411764705882353,8.194808006286621,7.960993766784668,9.28800344467163,8.02649736404419,8.60578203201294,8.451671361923218,8.179903745651245,8.586950302124023,8.487666845321655,8.236170530319214
