,train_size,models,train_scores_fold_1,train_scores_fold_2,train_scores_fold_3,train_scores_fold_4,train_scores_fold_5,train_scores_fold_6,train_scores_fold_7,train_scores_fold_8,train_scores_fold_9,train_scores_fold_10,validation_scores_fold_1,validation_scores_fold_2,validation_scores_fold_3,validation_scores_fold_4,validation_scores_fold_5,validation_scores_fold_6,validation_scores_fold_7,validation_scores_fold_8,validation_scores_fold_9,validation_scores_fold_10,fit_times_fold_1,fit_times_fold_2,fit_times_fold_3,fit_times_fold_4,fit_times_fold_5,fit_times_fold_6,fit_times_fold_7,fit_times_fold_8,fit_times_fold_9,fit_times_fold_10
0,31,firstmlp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8285714285714286,0.9428571428571428,0.9428571428571428,0.8857142857142857,0.8285714285714286,0.8857142857142857,0.8571428571428571,0.8857142857142857,0.8285714285714286,0.8235294117647058,0.7569749355316162,0.7700319290161133,0.7371690273284912,0.7376477718353271,0.7340121269226074,0.7374966144561768,0.7362220287322998,0.737790584564209,0.7350773811340332,0.7385280132293701
1,62,firstmlp,0.9838709677419355,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8285714285714286,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9428571428571428,0.8571428571428571,0.9714285714285714,0.9428571428571428,0.8571428571428571,0.8529411764705882,0.854957103729248,0.8448009490966797,0.8532009124755859,0.8501579761505127,0.8509426116943359,0.8598728179931641,0.8598940372467041,0.8592960834503174,0.8547096252441406,0.8548552989959717
2,94,firstmlp,0.9893617021276596,0.9893617021276596,1.0,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.8857142857142857,0.8571428571428571,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.8857142857142857,0.9142857142857143,0.9142857142857143,0.8529411764705882,0.9724245071411133,0.963191032409668,0.966559648513794,0.9773492813110352,0.9630661010742188,0.9774765968322754,1.0058419704437256,0.966433048248291,0.9609935283660889,0.9680557250976562
3,125,firstmlp,0.992,0.992,1.0,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.8571428571428571,0.8571428571428571,0.8857142857142857,0.9142857142857143,0.8571428571428571,0.8571428571428571,0.9714285714285714,0.9142857142857143,0.9428571428571428,0.9117647058823529,1.1146390438079834,1.0849840641021729,1.0867033004760742,1.0795223712921143,1.0783748626708984,1.0864982604980469,1.1590244770050049,1.0798275470733643,1.0887415409088135,1.0803627967834473
4,157,firstmlp,0.9936305732484076,0.9936305732484076,1.0,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.8571428571428571,0.9142857142857143,0.9428571428571428,0.9142857142857143,0.8857142857142857,0.9428571428571428,1.0,0.9714285714285714,0.8571428571428571,0.8823529411764706,1.2100894451141357,1.2082886695861816,1.2127833366394043,1.2049124240875244,1.2075092792510986,1.210200309753418,1.3011510372161865,1.2042195796966553,1.2080566883087158,1.2047486305236816
5,188,firstmlp,0.9946808510638298,0.9946808510638298,1.0,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.8857142857142857,0.8571428571428571,0.9428571428571428,0.9142857142857143,0.8571428571428571,0.9428571428571428,1.0,0.9428571428571428,0.8857142857142857,0.8823529411764706,1.3344345092773438,1.3201355934143066,1.31313157081604,1.3352363109588623,1.3164796829223633,1.3172039985656738,1.4364228248596191,1.3503673076629639,1.3207740783691406,1.312237024307251
6,219,firstmlp,0.9954337899543378,0.9954337899543378,1.0,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9142857142857143,0.8857142857142857,0.9428571428571428,0.9142857142857143,0.9428571428571428,0.9714285714285714,1.0,0.9714285714285714,0.9428571428571428,0.9117647058823529,2.038907051086426,2.042194128036499,2.0342438220977783,2.0205352306365967,2.06199049949646,2.0394415855407715,2.0351548194885254,2.024550676345825,2.05232572555542,2.029510259628296
7,251,firstmlp,0.9960159362549801,0.9960159362549801,1.0,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9142857142857143,0.9428571428571428,0.9428571428571428,0.9142857142857143,0.8857142857142857,0.9714285714285714,1.0,0.9714285714285714,0.9428571428571428,0.8823529411764706,2.1475603580474854,2.0550856590270996,2.182370185852051,2.0198421478271484,2.121000051498413,2.1499996185302734,2.190308094024658,2.080052137374878,2.1317203044891357,2.143008232116699
8,282,firstmlp,0.9964539007092199,0.9964539007092199,1.0,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9428571428571428,0.9142857142857143,0.9428571428571428,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9117647058823529,2.1795923709869385,2.1358773708343506,2.2769060134887695,2.0775299072265625,2.053218364715576,2.193455457687378,2.1935367584228516,2.1345577239990234,2.1928133964538574,2.2164087295532227
9,314,firstmlp,0.9968152866242038,0.9968152866242038,1.0,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9714285714285714,1.0,0.9714285714285714,0.9428571428571428,0.9411764705882353,2.2657880783081055,2.220027208328247,2.4023008346557617,2.1725850105285645,2.34683895111084,2.3001818656921387,2.3242390155792236,2.287839412689209,2.3417482376098633,2.322406053543091
