,train_size,models,train_scores_fold_1,train_scores_fold_2,train_scores_fold_3,train_scores_fold_4,train_scores_fold_5,train_scores_fold_6,train_scores_fold_7,train_scores_fold_8,train_scores_fold_9,train_scores_fold_10,validation_scores_fold_1,validation_scores_fold_2,validation_scores_fold_3,validation_scores_fold_4,validation_scores_fold_5,validation_scores_fold_6,validation_scores_fold_7,validation_scores_fold_8,validation_scores_fold_9,validation_scores_fold_10,fit_times_fold_1,fit_times_fold_2,fit_times_fold_3,fit_times_fold_4,fit_times_fold_5,fit_times_fold_6,fit_times_fold_7,fit_times_fold_8,fit_times_fold_9,fit_times_fold_10
0,31,bagmlp,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.8285714285714286,0.7714285714285715,0.8857142857142857,0.8571428571428571,0.7428571428571429,0.7428571428571429,0.8,0.8285714285714286,0.8285714285714286,0.7941176470588235,5.190033912658691,3.954991579055786,4.257975816726685,4.016215562820435,4.187825441360474,4.023783206939697,3.961413860321045,3.974884271621704,4.036263942718506,3.987125873565674
1,62,bagmlp,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.8857142857142857,0.8857142857142857,0.9142857142857143,0.9428571428571428,0.7714285714285715,0.8285714285714286,0.9428571428571428,0.9142857142857143,0.8571428571428571,0.8529411764705882,5.28177285194397,4.412274599075317,5.218386888504028,5.114990472793579,5.11751389503479,5.356777906417847,5.1623992919921875,5.165252208709717,5.129709482192993,5.213805675506592
2,94,bagmlp,0.9893617021276596,0.9893617021276596,1.0,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9428571428571428,0.8571428571428571,0.9142857142857143,0.9714285714285714,0.8857142857142857,0.9428571428571428,0.9428571428571428,0.8857142857142857,0.8857142857142857,0.8823529411764706,5.465061902999878,5.053249835968018,6.248250246047974,5.389239311218262,5.409141778945923,5.41976261138916,5.557816505432129,5.400627374649048,5.592250108718872,5.442035913467407
3,125,bagmlp,0.992,0.992,1.0,0.992,0.984,0.984,0.984,0.984,0.984,0.984,0.9142857142857143,0.8285714285714286,0.8857142857142857,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.8857142857142857,0.9428571428571428,0.8823529411764706,5.959070205688477,5.8569016456604,7.109928131103516,5.947882175445557,6.092086315155029,6.105501174926758,6.129257440567017,6.1235597133636475,6.285725116729736,6.753476619720459
4,157,bagmlp,0.9936305732484076,0.9936305732484076,1.0,0.9936305732484076,0.9872611464968153,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9142857142857143,0.9428571428571428,0.9428571428571428,0.9142857142857143,0.8857142857142857,0.9714285714285714,1.0,0.8857142857142857,0.9428571428571428,0.8823529411764706,6.877437114715576,6.508472204208374,7.584871053695679,6.598950147628784,7.074710369110107,6.921708345413208,6.965189218521118,6.946437358856201,6.987137794494629,6.919700384140015
5,188,bagmlp,0.9946808510638298,0.9946808510638298,1.0,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9142857142857143,0.9142857142857143,0.9428571428571428,0.9142857142857143,0.9142857142857143,0.9142857142857143,1.0,0.8857142857142857,0.8857142857142857,0.9117647058823529,7.490995407104492,7.13017463684082,7.989663362503052,7.330097436904907,7.4795403480529785,7.338817119598389,7.644151449203491,8.357073068618774,8.29499077796936,7.68031907081604
6,219,bagmlp,0.9954337899543378,0.9954337899543378,1.0,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9142857142857143,0.9142857142857143,0.9428571428571428,0.9142857142857143,0.9428571428571428,0.9714285714285714,1.0,0.9714285714285714,0.9142857142857143,0.9117647058823529,9.361645221710205,8.630253791809082,9.97620677947998,8.6472487449646,9.066016435623169,8.903757810592651,9.056496143341064,9.829127550125122,8.952689170837402,8.98739504814148
7,251,bagmlp,0.9960159362549801,0.9960159362549801,1.0,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9142857142857143,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9428571428571428,1.0,1.0,0.9714285714285714,0.9142857142857143,0.9117647058823529,9.252110242843628,8.924223899841309,10.11837363243103,8.76286244392395,9.072191715240479,8.858302593231201,9.091670751571655,8.78423523902893,8.780868291854858,8.821209907531738
8,282,bagmlp,0.9964539007092199,0.9964539007092199,1.0,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9142857142857143,0.8857142857142857,0.9428571428571428,0.9714285714285714,0.9428571428571428,1.0,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9117647058823529,8.810847997665405,8.627193689346313,9.606447696685791,8.688603162765503,8.928566217422485,8.83663296699524,9.274956226348877,8.800821542739868,8.829916954040527,9.143126010894775
9,314,bagmlp,0.9936305732484076,0.9936305732484076,0.9968152866242038,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9968152866242038,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9714285714285714,1.0,0.9428571428571428,0.9714285714285714,0.9117647058823529,9.338414430618286,8.880586624145508,9.974696159362793,9.188195943832397,9.200767993927002,9.311621189117432,9.382274150848389,9.170201778411865,9.249969482421875,9.348551034927368
